Date,Load,Zone
1/2/2019 8:00:00 PM,2112.2,CENTRL
1/2/2019 8:00:00 PM,761.8,DUNWOD
1/2/2019 8:00:00 PM,1271.5,GENESE
1/2/2019 8:00:00 PM,1263.8,HUD VL
1/2/2019 8:00:00 PM,2699.7,LONGIL
1/2/2019 8:00:00 PM,1071.4,MHK VL
1/2/2019 8:00:00 PM,377.5,MILLWD
1/2/2019 8:00:00 PM,6169.6,N.Y.C.
1/2/2019 8:00:00 PM,669.3,NORTH
1/2/2019 8:00:00 PM,1911,WEST
1/2/2019 9:00:00 PM,1454.4,CAPITL
1/2/2019 9:00:00 PM,2009.7,CENTRL
1/2/2019 9:00:00 PM,720.9,DUNWOD
1/2/2019 9:00:00 PM,1204.4,GENESE
1/2/2019 9:00:00 PM,1192.2,HUD VL
1/2/2019 9:00:00 PM,2536,LONGIL
1/2/2019 9:00:00 PM,1036.4,MHK VL
1/2/2019 9:00:00 PM,350.7,MILLWD
1/2/2019 9:00:00 PM,5920.5,N.Y.C.
1/2/2019 9:00:00 PM,654.1,NORTH
1/2/2019 9:00:00 PM,1862.8,WEST
1/2/2019 10:00:00 PM,1350,CAPITL
1/2/2019 10:00:00 PM,1858.5,CENTRL
1/2/2019 10:00:00 PM,656.5,DUNWOD
1/2/2019 10:00:00 PM,1119.9,GENESE
1/2/2019 10:00:00 PM,1098.6,HUD VL
1/2/2019 10:00:00 PM,2305.4,LONGIL
1/2/2019 10:00:00 PM,986.1,MHK VL
1/2/2019 10:00:00 PM,309.4,MILLWD
1/2/2019 10:00:00 PM,5541.2,N.Y.C.
1/2/2019 10:00:00 PM,636.4,NORTH
1/2/2019 10:00:00 PM,1754.3,WEST
1/2/2019 11:00:00 PM,1256.3,CAPITL
1/2/2019 11:00:00 PM,1748.7,CENTRL
1/2/2019 11:00:00 PM,602.8,DUNWOD
1/2/2019 11:00:00 PM,1032.5,GENESE
1/2/2019 11:00:00 PM,1006.7,HUD VL
1/2/2019 11:00:00 PM,2070.3,LONGIL
1/2/2019 11:00:00 PM,924.9,MHK VL
1/2/2019 11:00:00 PM,280.6,MILLWD
1/2/2019 11:00:00 PM,5135.2,N.Y.C.
1/2/2019 11:00:00 PM,622.2,NORTH
1/2/2019 11:00:00 PM,1635.4,WEST
1/3/2019 12:00:00 AM,1199.6,CAPITL
1/3/2019 12:00:00 AM,1697,CENTRL
